Время	Гармоника_1	Гармоника_2	Гармоника_3	
0.0545	-0.795618	0.445887	0.353553	
0.0546	-0.792598	0.419798	0.404508	
0.0547	-0.788797	0.392052	0.445503	
0.0548	-0.784217	0.362759	0.475528	
0.0549	-0.778863	0.332035	0.493844	
0.055	-0.772741	0.3	0.5	
0.0551	-0.765856	0.266781	0.493844	
0.0552	-0.758215	0.232509	0.475528	
0.0553	-0.749826	0.19732	0.445503	
0.0554	-0.740696	0.161352	0.404508	
0.0555	-0.730836	0.124747	0.353553	
0.0556	-0.720255	0.0876498	0.293893	
0.0557	-0.708963	0.0502067	0.226995	
0.0558	-0.696971	0.0125655	0.154508	
0.0559	-0.684291	-0.0251254	0.0782172	
0.056	-0.670936	-0.0627171	7.10481e-15	
0.0561	-0.656919	-0.100061	-0.0782172	
0.0562	-0.642254	-0.137011	-0.154508	
0.0563	-0.626955	-0.173419	-0.226995	
0.0564	-0.611037	-0.209143	-0.293893	
0.0565	-0.594516	-0.244042	-0.353553	
0.0566	-0.577408	-0.277978	-0.404508	
0.0567	-0.559731	-0.310816	-0.445503	
0.0568	-0.541501	-0.342428	-0.475528	
0.0569	-0.522736	-0.372689	-0.493844	
0.057	-0.503456	-0.401478	-0.5	
0.0571	-0.483679	-0.428684	-0.493844	
0.0572	-0.463425	-0.454197	-0.475528	
0.0573	-0.442713	-0.477918	-0.445503	
0.0574	-0.421565	-0.499753	-0.404508	
0.0575	-0.4	-0.519615	-0.353553	
0.0576	-0.378041	-0.537427	-0.293893	
0.0577	-0.355708	-0.553118	-0.226995	
0.0578	-0.333025	-0.566626	-0.154508	
0.0579	-0.310012	-0.577898	-0.0782172	
0.058	-0.286694	-0.586889	-5.38968e-15	
0.0581	-0.263093	-0.593563	0.0782172	
0.0582	-0.239233	-0.597896	0.154508	
0.0583	-0.215136	-0.599868	0.226995	
0.0584	-0.190827	-0.599474	0.293893	
0.0585	-0.166329	-0.596713	0.353553	
0.0586	-0.141668	-0.591598	0.404508	
0.0587	-0.116866	-0.584147	0.445503	
0.0588	-0.0919497	-0.574392	0.475528	
0.0589	-0.0669423	-0.562369	0.493844	
0.059	-0.0418688	-0.548127	0.5	
0.0591	-0.0167539	-0.531722	0.493844	
0.0592	0.00837743	-0.513219	0.475528	
0.0593	0.0335005	-0.49269	0.445503	
0.0594	0.0585906	-0.470216	0.404508	
0.0595	0.0836228	-0.445887	0.353553	
0.0596	0.108572	-0.419798	0.293893	
0.0597	0.133415	-0.392052	0.226995	
0.0598	0.158126	-0.362759	0.154508	
0.0599	0.182681	-0.332035	0.0782172	
0.06	0.207055	-0.3	3.67456e-15	
0.0601	0.231225	-0.266781	-0.0782172	
0.0602	0.255167	-0.232509	-0.154508	
0.0603	0.278858	-0.19732	-0.226995	
0.0604	0.302273	-0.161352	-0.293893	
0.0605	0.325389	-0.124747	-0.353553	
0.0606	0.348185	-0.0876498	-0.404508	
0.0607	0.370637	-0.0502067	-0.445503	
0.0608	0.392723	-0.0125655	-0.475528	
